DATE,DGASUSGULF
2023-08-16,2.898
2023-08-17,2.864
2023-08-18,2.889
2023-08-21,2.835
2023-08-22,3.038
2023-08-23,3.025
2023-08-24,3.047
2023-08-25,2.924
2023-08-28,2.851
2023-08-29,2.805
2023-08-30,2.866
2023-08-31,2.861
2023-09-01,2.785
2023-09-04,.
2023-09-05,2.785
2023-09-06,2.798
2023-09-07,2.818
2023-09-08,2.811
2023-09-11,2.925
2023-09-12,2.908
2023-09-13,2.909
2023-09-14,2.916
2023-09-15,2.885
2023-09-18,2.872
